Menu,Submenu,Abre?,API real?,Endpoint,Listar,Criar,Editar,Excluir,Export PDF,Export Excel,Export HTML,Mock/Casca,Problema visual,Risco,Prioridade,Proximo ajuste
Alertas,Lista de alertas reais,Sim,Sim,"/api/reports/events;/api/devices",Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Sem trilha de acknowledgement persistida,P1,Adicionar acao real de ack/resolucao
Alertas,Dados tecnicos por alerta (lat/lng/speed/ignicao/bateria/endereco/attributes),Sim,Sim,/api/reports/events,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Campos avancados ficam apenas em attributes summary,P1,Adicionar colunas dedicadas para engineHours/inputs/outputs/rssi/sat
Alertas,Submenus especificos de alerta,Sim,Nao,Nenhum (placeholder),Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Usuario espera regra pronta e nao encontra,P2,Desabilitar interacao e padronizar texto Em desenvolvimento
Cercas,Lista de cercas,Sim,Sim,/api/geofences,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Baixo,P1,Adicionar busca por nome de cerca
Cercas,Criar cerca (circulo/poligono + mapa),Sim,Sim,/api/geofences,NA,Sim,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Sem preview de payload final antes de salvar,P1,Mostrar area gerada antes do POST
Cercas,Editar cerca,Sim,Nao,Nenhum (placeholder),Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Fluxo quebra expectativa de CRUD completo,P1,Implementar PUT /api/geofences/{id}
Cercas,Excluir cerca,Sim,Sim,/api/geofences/{id},NA,Nao,Nao,Sim,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Risco medio (operacao destrutiva),P1,Manter confirmacao e incluir nome+id no dialog
Comandos,Comandos remotos (aba veiculo no HomeShell),Sim,Sim,/api/commands/send,NA,Sim,Nao,Nao,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Risco de envio acidental no rastreador,P0,Adicionar confirmacao em 2 etapas + perfil autorizado
Comandos,Tela CommandsScreen (nao vinculada no menu lateral),Nao,Sim,"/api/commands;/api/commands/send;/api/devices",Sim,Sim,Nao,Nao,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Funcao existe mas descoberta baixa (sem menu),P1,Adicionar acesso explicito no menu correto
Comandos,Tipos de comando dinamicos,Parcial,Sim,/api/commands/types,Parcial,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",UI usa tipos estaticos e ignora API,P0,Consumir commandTypesProvider por deviceId
Relatorios,Eventos,Sim,Sim,/api/reports/events,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Baixo,P1,Adicionar indicador de total bruto vs filtrado
Relatorios,Rotas,Sim,Sim,/api/reports/route,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Baixo,P1,Adicionar colunas de distancia/tempo quando disponivel
Relatorios,Viagens/Trips,Sim,Sim,/api/reports/trips,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Alguns campos mapeados por heuristica,P1,Mapeamento dedicado para trips
Relatorios,Paradas/Stops,Sim,Sim,/api/reports/stops,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Sem detalhamento de duracao/local na grade,P1,Expandir colunas de stop duration/address
Relatorios,Resumo/Summary,Sim,Sim,/api/reports/summary,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Resumo tratado como record generico,P1,Criar parser especifico para summary
Relatorios,Exportacao geral,Sim,Parcial,Nenhum endpoint de export implementado,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Bloqueia entrega para cliente final,P0,Implementar export server-side ou client-side real
Relatorios,Export PDF (icone),Sim,Nao,Nenhum,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Acao muda nada (falso positivo),P0,Conectar acao de PDF real
Relatorios,Export Excel (icone),Sim,Nao,Nenhum,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Acao muda nada (falso positivo),P0,Conectar acao de Excel real
Relatorios,Export HTML,Não,Nao,Nenhum,Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Formato prometido nao existe,P0,Adicionar opcao HTML ou remover da expectativa
Configuracoes,Painel principal de configuracoes,Sim,Parcial,"Depende do submenu",Parcial,Parcial,Parcial,Parcial,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Mistura modulos reais e mock sem destaque claro,P1,Exibir tag Real/Mock por item
Configuracoes,Status do Servidor,Sim,Sim,"/api/session;/api/server;/api/server/timezones",Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Sem cache/retentativa estruturada,P2,Adicionar timestamp e retry manual
Usuarios,Lista de usuarios,Sim,Sim,/api/users,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Sem busca/filtro/ordenacao,P1,Adicionar busca por nome/email
Usuarios,Criar usuario,Sim,Sim,/api/users,NA,Sim,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Criacao sensivel sem politica de senha visivel,P1,Validar senha forte e perfil minimo
Grupos,Lista de grupos,Sim,Sim,/api/groups,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Sem paginacao em listas grandes,P2,Adicionar busca e paginacao
Grupos,Criar grupo,Sim,Sim,/api/groups,NA,Sim,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Sem validacao de hierarquia circular,P2,Validar parentId antes de salvar
Grupos,Excluir grupo,Sim,Sim,/api/groups/{id},NA,Nao,Nao,Sim,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Risco medio (impacto estrutural),P1,Mostrar dependencias antes de excluir
Permissoes,Visual de permissoes,Sim,Parcial,"/api/users;/api/permissions",Sim,Nao,Nao,Nao,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Botao Salvar Permissoes nao persiste no backend,P0,Implementar PUT/POST de permissoes reais
Permissoes,Novo vinculo usuario-dispositivo,Sim,Sim,"/api/permissions;/api/devices;/api/users",Sim,Sim,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Sem checagem de duplicidade de vinculo,P1,Bloquear vinculo repetido por userId+deviceId
Manutencao,Tela MaintenanceScreen (nao ligada ao menu),Nao,Sim,"/api/maintenance;/api/devices",Sim,Sim,Nao,Sim,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Funcao existe mas nao acessivel ao operador,P1,Adicionar entrada de menu controlada
Notificacoes,Lista de notificacoes,Sim,Sim,/api/notifications,Sim,Nao,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Sem filtro por tipo/status,P2,Adicionar busca/filtros simples
Notificacoes,Criar notificacao,Sim,Sim,/api/notifications,NA,Sim,Nao,Nao,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Campos avancados de notificacao nao expostos,P1,Expandir formulario com parametros por tipo
Notificacoes,Excluir notificacao,Sim,Sim,/api/notifications/{id},NA,Nao,Nao,Sim,Nao,Nao,Nao,Nao,"Nao validado visual no browser nesta auditoria",Risco medio se apagar regra critica,P1,Adicionar aviso de impacto antes de excluir
Comunicacao,Conversas/WhatsApp/Z-Pro,Sim,Nao,Nenhum endpoint Traccar (abre links externos),Parcial,Nao,Nao,Nao,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Dependencia de URL/numero configurados; sem trilha operacional,P1,Adicionar healthcheck de integracoes e fallback de erro
Chamados,Abrir chamado (Bridge),Sim,Nao,Nenhum real (BridgeClient mock),Parcial,Parcial,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Fluxo aparenta real mas payload e mock,P0,Integrar endpoint real ou bloquear em producao
Chamados,Chamados em andamento/finalizados,Sim,Nao,Nenhum (MockCallsRepository),Sim,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Cliente pode usar dado nao real para decisao,P0,Trocar para API real de chamados
Financeiro,Clientes,Sim,Nao,Nenhum (MockClientsRepository),Sim,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Dado financeiro ficticio em ambiente real,P0,Ocultar modulo ou integrar API real
Financeiro,Cobrancas e acoes,Sim,Nao,Nenhum (MockFinanceRepository),Sim,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Acoes de pagamento apenas snackbar,P0,Implementar operacoes reais ou desabilitar
Estoque,Painel de estoque,Sim,Nao,Nenhum (MockInventoryRepository),Sim,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Movimentacoes sao simuladas,P0,Integrar API real de estoque ou ocultar
MDVR / Cameras,Painel demo MDVR (menu lateral),Sim,Nao,Nenhum (demo),Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Menu aponta para demo enquanto telas reais existem fora do fluxo,P1,Apontar menu para rotas MDVR reais
MDVR / Cameras,Rotas internas /mdvr/devices e /mdvr/device/{id},Parcial,Sim,"/api/devices;/api/positions",Sim,Nao,Nao,Nao,Nao,Nao,Nao,Parcial,"Nao validado visual no browser nesta auditoria",Acesso nao evidente para operador comum,P1,Adicionar entrada oficial no menu
IA Operacional,Todas as acoes IA,Sim,Nao,Nenhum (placeholder),Nao,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Promessa funcional sem backend/fluxo,P2,Marcar como em desenvolvimento e ocultar no piloto
Demo Telemetria,Painel demo OpenF1/snapshot,Sim,Parcial,"OpenF1 externo + snapshot local",Parcial,Nao,Nao,Nao,Nao,Nao,Nao,Sim,"Nao validado visual no browser nesta auditoria",Dado de demo pode ser confundido com telemetria de frota,P2,Bloquear em producao e manter apenas ambiente demo
